libgnutls30t64	3.8.9-3+deb13u4	amd64	libgnutls30t64_3.8.9-3+deb13u4_amd64.deb	18a8bdfd91c7e3bcb01719d55a2b56849c7160b34f1f52b1c4fdfdd41bf1352b
libgomp1	14.2.0-19	amd64	libgomp1_14.2.0-19_amd64.deb	72b7a1a33c48f3195efeb044111b34ae684b1e640bb6495c832443b798601cd5
libgpg-error0	1.51-4	amd64	libgpg-error0_1.51-4_amd64.deb	22b95570fd41c113ef6f5651563b4d748292844baab1278a46eb940c1dec2322
libgpgme11t64	1.24.2-3	amd64	libgpgme11t64_1.24.2-3_amd64.deb	6650203af59ccf73b22cd6904fb179a799cb70d62885b19ae725c0655c04241c
libgpgmepp6t64	1.24.2-3	amd64	libgpgmepp6t64_1.24.2-3_amd64.deb	81860c69f1480af6969de16845e2091dba9fca1e33732411e28437ea62e1a625
libgraphite2-3	1.3.14-2+deb13u1	amd64	libgraphite2-3_1.3.14-2+deb13u1_amd64.deb	1769ba3ed3c1fc75b7fbe02678e32aa24391205813eceef4e1e3500015d12ee3
libgsm1	1.0.22-1+b2	amd64	libgsm1_1.0.22-1+b2_amd64.deb	388909810b0133b0dd8ea84884cd34db7bcbbd0f2643a7a65296a34644704a5e
libgssapi-krb5-2	1.21.3-5+deb13u1	amd64	libgssapi-krb5-2_1.21.3-5+deb13u1_amd64.deb	30847c1fde4240567d7ed3aeab4f655dd591203758b857e85e824045aae70299
libgudev-1.0-0	238-6	amd64	libgudev-1.0-0_238-6_amd64.deb	890a55ea26f52062f377389e6326abeadb72a14741c95ab6a1c5a19c77c3c3d0
libharfbuzz0b	10.2.0-1+deb13u1	amd64	libharfbuzz0b_10.2.0-1+deb13u1_amd64.deb	932165b933e5eb633293afe984a983ebe89cb27c923ce7208626f1da6c0c7941
libhogweed6t64	3.10.1-1	amd64	libhogweed6t64_3.10.1-1_amd64.deb	b059ed155115ac09da295322de48ee1ed58ef5fa45edcc9e12ff0e94636ef25f
libhwy1t64	1.2.0-2+b2	amd64	libhwy1t64_1.2.0-2+b2_amd64.deb	540c4ff28255fbfa89468061b722dfc2b773b0c1ecf163a063202482dea5b119
libice6	2:1.1.1-1	amd64	libice6_2%3a1.1.1-1_amd64.deb	38185997162793b5dfb768644badc57852879784a2f9d83c6c4e47efa5e36698
libicu76	76.1-4	amd64	libicu76_76.1-4_amd64.deb	c1bf762996de9ecba9b9d871e4928a8090f023a3e9e7fa3240b3d90f892a01dc
libidn2-0	2.3.8-2	amd64	libidn2-0_2.3.8-2_amd64.deb	90b039bcdc4578f8e1c4935adf8dbb525e36a164deefdbbb8c45bac347d48278
libimobiledevice-1.0-6	1.3.0+git20250228-2	amd64	libimobiledevice-1.0-6_1.3.0+git20250228-2_amd64.deb	92424711dc32b9f537d744efe813e21079134b0a89899bd2c0ba44ed0e0f529c
libimobiledevice-glue-1.0-0	1.3.1-1	amd64	libimobiledevice-glue-1.0-0_1.3.1-1_amd64.deb	f8741f861fcf9d84c31cfa1c0b9fb6dee2d03ebb8948b846ea3e640f395f41c3
libinput-bin	1.28.1-1+deb13u1	amd64	libinput-bin_1.28.1-1+deb13u1_amd64.deb	0ef9fc75d9fb4d8aa478baa3e2165c8f3b5e7310c13d9dddbb18029e6cad9143
libinput10	1.28.1-1+deb13u1	amd64	libinput10_1.28.1-1+deb13u1_amd64.deb	fa967b1a25d8e5c0314459f6abd9e0e7518de7d8e02a8d4e69f51642a88569d4
libjbig0	2.1-6.1+b2	amd64	libjbig0_2.1-6.1+b2_amd64.deb	95cbc44561651e1b3385454df08e8f2efe84498f6963a85259be2cc2fe798709
libjpeg62-turbo	1:2.1.5-4	amd64	libjpeg62-turbo_1%3a2.1.5-4_amd64.deb	5504299ad0e3c0a9ca9f962a68a650a040db52f9f416a109e74df48d55601d3f
